TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	青森	02	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	宮城	04	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	福島	07	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	山梨	19	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	長野	20	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	岐阜	21	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	静岡	22	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	愛知	23	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	三重	24	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	滋賀	25	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	京都	26	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	大阪	27	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	兵庫	28	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	奈良	29	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	和歌山	30	0	2	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	鳥取	31	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	島根	32	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	岡山	33	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	広島	34	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	山口	35	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	徳島	36	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	香川	37	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	愛媛	38	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	高知	39	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	福岡	40	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	佐賀	41	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	長崎	42	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	熊本	43	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	大分	44	0	1	
TO_DATE('2020/03/05 00:00:00,'yyyy/mm/dd hh24:mi:ss')	宮崎	45	0	1	
